,clause,verb,phrase,cmpl_type,cmpl_func
439601,439601,NTN[,688186,<L,?
439592,439592,NTN[,688154,<L,DIR
439566,439566,NTN[,688071,<L,DIR
439548,439548,NTN[,688012,<L,-
446966,446966,NTN[,710518,B,DIR
446640,446640,NTN[,709483,B,DIR
447071,447071,NTN[,710813,B,-
447145,447145,NTN[,711042,B,-
447418,447418,NTN[,711924,B,DIR
439297,439297,NTN[,687203,<L,DIR
439291,439291,NTN[,687173,<L,DIR
439264,439264,NTN[,687082,<L,DIR
439256,439256,NTN[,687046,<L,DIR
447139,447139,NTN[,711021,B,-
446250,446250,NTN[,708303,<L,-
447939,447939,NTN[,713454,<L,?
442669,442669,NTN[,697460,B,?
432172,432172,NTN[,665502,B,DIR
462345,462345,NTN[,756990,<L,DIR
432109,432109,NTN[,665289,B,DIR
462617,462617,NTN[,757814,<L,DIR
462857,462857,NTN[,758621,<L,-
462887,462887,NTN[,758707,<L,-
463243,463243,NTN[,759763,<L,-
463456,463456,NTN[,760441,<L,-
463651,463651,NTN[,761016,<L,DIR
463704,463704,NTN[,761167,<L,DIR
432068,432068,NTN[,665159,B,DIR
463821,463821,NTN[,761492,<L,DIR
432057,432057,NTN[,665121,B,-
432056,432056,NTN[,665117,B,-
431989,431989,NTN[,664935,B,-
431967,431967,NTN[,664862,B,-
431142,431142,NTN[,662449,B,DIR
467959,467959,NTN[,773513,<L,-
467755,467755,NTN[,772882,<L,DIR
467736,467736,NTN[,772820,<L,DIR
467281,467281,NTN[,771490,<L,LOC
467236,467236,NTN[,771358,<L,-
467012,467012,NTN[,770616,<L,DIR
432301,432301,NTN[,665905,B,DIR
427611,427611,NTN[,651724,B,DIR
428819,428819,NTN[,655473,B,-
466584,466584,NTN[,769277,<L,DIR
466572,466572,NTN[,769235,<L,DIR
430281,430281,NTN[,659855,B,DIR
466486,466486,NTN[,768960,<L,DIR
430823,430823,NTN[,661478,B,DIR
428300,428300,NTN[,653873,B,-
443193,443193,NTN[,699140,B,-
462071,462071,NTN[,756177,<L,DIR
432302,432302,NTN[,665910,B,DIR
446806,446806,NTN[,710007,<L,-
447617,447617,NTN[,712533,<L,-
437741,437741,NTN[,682347,<L,DIR
448154,448154,NTN[,714140,<L,-
441432,441432,NTN[,693748,B,-
440714,440714,NTN[,691600,B,-
440692,440692,NTN[,691521,B,DIR
440676,440676,NTN[,691462,B,-
440660,440660,NTN[,691408,B,LOC
440454,440454,NTN[,690739,B,-
440448,440448,NTN[,690724,B,-
440002,440002,NTN[,689400,B,-
439965,439965,NTN[,689299,B,-
439950,439950,NTN[,689249,B,-
439912,439912,NTN[,689134,B,-
455223,455223,NTN[,735472,<L,-
439911,439911,NTN[,689129,B,-
434087,434087,NTN[,671107,B,DIR
434676,434676,NTN[,672937,B,DIR
434708,434708,NTN[,673031,B,-
434874,434874,NTN[,673566,B,-
436109,436109,NTN[,677364,B,-
436835,436835,NTN[,679668,B,-
461847,461847,NTN[,755493,<L,DIR
437387,437387,NTN[,681256,B,-
437829,437829,NTN[,682620,B,DIR
438684,438684,NTN[,685319,B,?
439314,439314,NTN[,687253,B,-
439684,439684,NTN[,688460,B,-
456082,456082,NTN[,738055,<L,DIR
439786,439786,NTN[,688737,B,-
437392,437392,NTN[,681269,B,-
437740,437740,NTN[,682344,<L,DIR
438141,438141,NTN[,683658,<L,DIR
457654,457654,NTN[,742867,B,-
467095,467095,NTN[,770896,B,-
452611,452611,NTN[,727573,B,-
452601,452601,NTN[,727547,B,-
467424,467424,NTN[,771905,B,DIR
452568,452568,NTN[,727436,B,-
452285,452285,NTN[,726548,B,-
452050,452050,NTN[,725814,B,-
452031,452031,NTN[,725756,B,-
458914,458914,NTN[,746786,B,-
